station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
10.0, 10.0, 2.5, 0.0, 2011-11-07 00:00:00, 0.0, 5.2
10.2, 10.2, 2.5, 0.0, 2011-11-08 00:00:00, 0.0, 6.8
25.2, 25.2, 5.0, 0.0, 2011-11-09 00:00:00, 0.0, 7.6
24.8, 24.8, 6.2, 0.0, 2011-11-10 00:00:00, 0.0, 8.0
4.8, 4.8, 5.2, 0.0, 2011-11-11 00:00:00, 0.0, 6.5
4.2, 4.2, 3.8, 0.0, 2011-11-12 00:00:00, 0.0, 5.5
4.2, 4.2, 3.5, 0.0, 2011-11-13 00:00:00, 0.0, 5.0
17.0, 16.0, 0.0, 1.0, 2011-11-16 00:00:00, 0.0, 4.0
4.0, 4.0, 0.0, 0.0, 2011-11-17 00:00:00, 0.0, 4.0
0.0, 0.0, 0.5, 0.0, 2011-11-18 00:00:00, 0.0, 4.0
0.0, 0.0, -1.5, 0.0, 2011-11-19 00:00:00, 0.0, 3.0
3.5, 0.0, -1.0, 3.5, 2011-11-20 00:00:00, 0.0, 3.0
12.0, 12.0, 1.0, 0.0, 2011-11-22 00:00:00, 0.0, 6.0
4.0, 4.0, 3.0, 0.0, 2011-11-23 00:00:00, 0.0, 5.5
15.0, 15.0, 2.0, 0.0, 2011-11-24 00:00:00, 0.0, 4.8
21.0, 21.0, 2.3, 0.0, 2011-11-25 00:00:00, 0.0, 5.2
67.4, 67.4, 1.2, 0.0, 2011-11-26 00:00:00, 0.0, 5.0
0.0, 0.0, 2.5, 0.0, 2011-11-27 00:00:00, 0.0, 8.2
4.0, 4.0, 3.0, 0.0, 2011-11-28 00:00:00, 0.0, 5.0
10.8, 8.4, 0.2, 2.4, 2011-11-29 00:00:00, 0.0, 3.5
0.0, 0.0, 0.6, 0.0, 2011-11-30 00:00:00, 0.0, 4.0
0.0, 0.0, 1.0, 0.0, 2011-12-01 00:00:00, 0.0, 3.0
0.0, 0.0, 1.0, 0.0, 2011-12-02 00:00:00, 0.0, 3.0
0.0, 0.0, 0.0, 0.0, 2011-12-03 00:00:00, 0.0, 3.0
0.0, 0.0, 0.0, 0.0, 2011-12-04 00:00:00, 0.0, 2.5
0.0, 0.0, -0.2, 0.0, 2011-12-05 00:00:00, 0.0, 2.0
0.0, 0.0, 0.0, 0.0, 2011-12-06 00:00:00, 0.0, 3.0
0.0, 0.0, 2.2, 0.0, 2011-12-07 00:00:00, 0.0, 4.5
0.0, 0.0, 1.0, 0.0, 2011-12-08 00:00:00, 0.0, 3.8
0.0, 0.0, 0.5, 0.0, 2011-12-09 00:00:00, 0.0, 3.2
0.0, 0.0, 1.0, 0.0, 2011-12-10 00:00:00, 0.0, 3.5
0.0, 0.0, 0.4, 0.0, 2011-12-11 00:00:00, 0.0, 3.0
0.0, 0.0, -0.5, 0.0, 2011-12-12 00:00:00, 0.0, 2.7
2.8, 2.8, 1.2, 0.0, 2011-12-13 00:00:00, 0.0, 3.5
6.2, 6.2, 1.7, 0.0, 2011-12-14 00:00:00, 0.0, 3.0
8.2, 8.2, 1.5, 0.0, 2011-12-15 00:00:00, 0.0, 6.0
8.0, 8.0, 2.5, 0.0, 2011-12-16 00:00:00, 0.0, 4.5
12.6, 12.6, 3.0, 0.0, 2011-12-17 00:00:00, 0.0, 5.5
0.2, 0.2, 4.0, 0.0, 2011-12-18 00:00:00, 0.0, 5.5
7.4, 7.4, 4.0, 0.0, 2011-12-19 00:00:00, 0.0, 5.2
0.0, 0.0, 3.0, 0.0, 2011-12-20 00:00:00, 0.0, 5.0
0.0, 0.0, 0.6, 0.0, 2011-12-21 00:00:00, 0.0, 2.0
0.0, 0.0, 0.0, 0.0, 2011-12-22 00:00:00, 0.0, 3.0
31.8, 31.8, 0.5, 0.0, 2011-12-23 00:00:00, 0.0, 4.5
0.0, None, None, 0.0, 2011-12-25 00:00:00, 0.0, None
0.0, None, None, 0.0, 2011-12-26 00:00:00, 0.0, None
0.0, None, None, 0.0, 2011-12-27 00:00:00, 0.0, None
16.6, 16.6, 4.0, 0.0, 2011-12-29 00:00:00, 0.0, 5.0
6.0, 6.0, 0.6, 0.0, 2011-12-30 00:00:00, 0.0, 4.5
0.0, 0.0, 1.2, 0.0, 2011-12-31 00:00:00, 3.0, 3.2
11.8, 11.8, 2.2, 0.0, 2012-01-02 00:00:00, 0.0, 5.5
78.6, 78.6, 3.5, 0.0, 2012-01-03 00:00:00, 0.0, 6.0
31.1, 31.1, 3.8, 0.0, 2012-01-04 00:00:00, 0.0, 6.0
2.6, 2.6, 4.5, 0.0, 2012-01-05 00:00:00, 0.0, 6.0
2.6, 2.6, 3.5, 0.0, 2012-01-06 00:00:00, 0.0, 4.5
18.0, 18.0, None, 0.0, 2012-01-08 00:00:00, 0.0, 6.0
43.0, 43.0, 0.0, 0.0, 2012-01-09 00:00:00, 0.0, 4.0
0.0, 0.0, -1.0, 0.0, 2012-01-10 00:00:00, 0.0, 0.5
1.0, 0.0, 1.0, 1.0, 2012-01-13 00:00:00, 0.0, 4.0
3.0, 0.0, -0.5, 3.0, 2012-01-14 00:00:00, 0.0, 4.0
0.0, 0.0, -2.0, 0.0, 2012-01-15 00:00:00, 0.0, 2.0
5.0, 0.0, -2.0, 5.0, 2012-01-16 00:00:00, 0.0, 0.0
0.0, 0.0, -4.0, 0.0, 2012-01-17 00:00:00, 5.0, 1.5
0.0, 0.0, -5.5, 0.0, 2012-01-18 00:00:00, 0.0, -2.0
1.0, 0.0, -4.5, 1.0, 2012-01-19 00:00:00, 0.0, 0.0
44.8, 40.8, -2.0, 4.0, 2012-01-20 00:00:00, 0.0, 2.0
2.4, 2.4, 0.5, 0.0, 2012-01-21 00:00:00, 0.0, 3.0
9.0, 9.0, 1.0, 0.0, 2012-01-22 00:00:00, 0.0, 2.5
28.0, 28.0, 1.5, 0.0, 2012-01-31 00:00:00, 0.0, 4.0
1.0, 1.0, 0.5, 0.0, 2012-02-01 00:00:00, 0.0, 5.0
0.0, 0.0, 0.5, 0.0, 2012-02-02 00:00:00, 0.0, 6.8
0.0, 0.0, 1.2, 0.0, 2012-02-03 00:00:00, 0.0, 5.0
0.0, 0.0, 1.0, 0.0, 2012-02-04 00:00:00, 0.0, 5.0
0.0, 0.0, 0.0, 0.0, 2012-02-05 00:00:00, 0.0, 5.0
0.0, 0.0, 0.2, 0.0, 2012-02-06 00:00:00, 0.0, 5.1
0.0, 0.0, 0.5, 0.0, 2012-02-07 00:00:00, 0.0, 6.5
6.2, 6.2, 1.0, 0.0, 2012-02-08 00:00:00, 0.0, 5.5
31.0, 31.0, 3.8, 0.0, 2012-02-09 00:00:00, 0.0, 6.0
2.0, 2.0, 4.2, 0.0, 2012-02-10 00:00:00, 0.0, 7.2
7.0, 7.0, 2.0, 0.0, 2012-02-20 00:00:00, 0.0, 8.0
29.0, 21.0, 2.0, 8.0, 2012-02-23 00:00:00, 0.0, 9.0
1.0, 1.0, 0.0, 0.0, 2012-02-24 00:00:00, 0.0, 7.0
2.0, 0.0, 0.0, 2.0, 2012-02-25 00:00:00, 0.0, 7.0
0.0, 0.0, -3.0, 0.0, 2012-02-26 00:00:00, 2.0, 4.0
5.0, 5.0, 0.0, 0.0, 2012-02-27 00:00:00, 0.0, 6.0
12.6, 12.6, 0.2, 0.0, 2012-03-03 00:00:00, 0.0, 4.5
38.0, 38.0, 3.0, 0.0, 2012-03-04 00:00:00, 0.0, 5.0
3.8, 3.8, 0.2, 0.0, 2012-03-05 00:00:00, 0.0, 5.0
0.0, 0.0, -2.0, 0.0, 2012-03-06 00:00:00, 0.0, 5.5
0.0, 0.0, -1.0, 0.0, 2012-03-07 00:00:00, 0.0, 4.5
24.8, 24.8, 0.6, 0.0, 2012-03-08 00:00:00, 0.0, 6.2
18.0, 18.0, 3.2, 0.0, 2012-03-09 00:00:00, 0.0, 4.5
14.0, 14.0, 3.0, 0.0, 2012-03-10 00:00:00, 0.0, 5.5
7.6, 7.6, 2.8, 0.0, 2012-03-11 00:00:00, 0.0, 5.5
11.6, 11.6, 0.8, 0.0, 2012-03-12 00:00:00, 0.0, 6.0
3.2, 3.2, 1.2, 0.0, 2012-03-13 00:00:00, 0.0, 5.0
7.0, 7.0, None, 0.0, 2012-03-17 00:00:00, 0.0, 3.0
0.0, 0.0, 0.5, 0.0, 2012-03-18 00:00:00, 0.0, 6.0
6.0, 6.0, 0.5, 0.0, 2012-03-20 00:00:00, 0.0, 6.0
1.0, 1.0, 1.0, 0.0, 2012-03-21 00:00:00, 0.0, 3.0
0.0, 0.0, 0.0, 0.0, 2012-03-22 00:00:00, 0.0, 5.5
0.0, 0.0, 1.0, 0.0, 2012-03-23 00:00:00, 0.0, 10.0
0.0, 0.0, 1.0, 0.0, 2012-03-24 00:00:00, 0.0, 11.0
0.0, 0.0, 1.0, 0.0, 2012-03-25 00:00:00, 0.0, 14.0
26.0, 26.0, 6.0, 0.0, 2012-03-28 00:00:00, 0.0, 10.0
9.0, 9.0, 3.0, 0.0, 2012-03-29 00:00:00, 0.0, 10.0
7.0, 7.0, 3.0, 0.0, 2012-03-30 00:00:00, 0.0, 9.0
17.0, 17.0, 2.0, 0.0, 2012-03-31 00:00:00, 0.0, 8.0
2.0, 2.0, 0.0, 0.0, 2012-04-01 00:00:00, 0.0, 9.0
50.0, 50.0, 2.0, 0.0, 2012-04-02 00:00:00, 0.0, 9.0
16.0, 16.0, 4.0, 0.0, 2012-04-03 00:00:00, 0.0, 8.0
0.0, 0.0, 2.0, 0.0, 2012-04-04 00:00:00, 0.0, 11.0
0.0, 0.0, 1.0, 0.0, 2012-04-05 00:00:00, 0.0, 13.0
0.0, 0.0, 2.0, 0.0, 2012-04-06 00:00:00, 0.0, 16.0
0.0, 0.0, 2.0, 0.0, 2012-04-07 00:00:00, 0.0, 13.5
0.0, 0.0, 3.5, 0.0, 2012-04-08 00:00:00, 0.0, 16.0
0.0, 0.0, 7.0, 0.0, 2012-04-09 00:00:00, 0.0, 16.0
0.0, 0.0, 7.5, 0.0, 2012-04-10 00:00:00, 0.0, 14.0
11.2, 11.2, 7.2, 0.0, 2012-04-11 00:00:00, 0.0, 10.5
2.2, 2.2, 7.2, 0.0, 2012-04-12 00:00:00, 0.0, 14.5
0.0, 0.0, 6.8, 0.0, 2012-04-13 00:00:00, 0.0, 14.4
0.0, 0.0, 6.5, 0.0, 2012-04-14 00:00:00, 0.0, 14.6
2.0, 2.0, 5.5, 0.0, 2012-04-15 00:00:00, 0.0, 13.5
5.0, 5.0, 7.0, 0.0, 2012-04-16 00:00:00, 0.0, 9.6
5.2, 5.2, 6.2, 0.0, 2012-04-17 00:00:00, 0.0, 9.6
1.2, 1.2, 5.4, 0.0, 2012-04-18 00:00:00, 0.0, 10.0
