station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
5.0, 0.0, 5.0, 2010-11-24 00:00:00, -10.0, -2.0, 6.0
8.6, 0.6, 8.0, 2010-11-25 00:00:00, -4.5, 1.0, 11.0
6.0, 0.0, 6.0, 2010-11-26 00:00:00, -3.0, 1.0, 8.0
0.6, 0.6, 0.0, 2010-11-27 00:00:00, 0.0, 6.0, 0.0
None, None, None, 2010-11-28 00:00:00, -1.0, None, 4.0
1.6, 1.6, 0.0, 2010-11-30 00:00:00, 0.0, 4.5, 2.0
0.0, 0.0, 0.0, 2010-12-01 00:00:00, 1.0, 4.5, 0.0
0.4, 0.4, 0.0, 2010-12-02 00:00:00, -0.5, 4.0, 0.0
0.0, 0.0, 0.0, 2010-12-03 00:00:00, -0.5, 4.0, 0.0
0.2, 0.2, 0.0, 2010-12-04 00:00:00, 0.0, 2.5, 0.0
0.0, 0.0, 0.0, 2010-12-05 00:00:00, -0.5, 4.5, 0.0
2.2, 2.2, 0.0, 2010-12-06 00:00:00, 0.0, 6.0, 0.0
12.4, 12.4, 0.0, 2010-12-07 00:00:00, 1.0, 7.0, 0.0
45.6, 45.6, 0.0, 2010-12-08 00:00:00, 6.0, 7.5, 0.0
9.6, 9.6, 0.0, 2010-12-09 00:00:00, 5.0, 7.0, 0.0
0.4, 0.4, 0.0, 2010-12-10 00:00:00, 1.5, 7.0, 0.0
91.0, 91.0, 0.0, 2010-12-11 00:00:00, 1.5, 10.0, 0.0
5.6, 5.6, 0.0, 2010-12-12 00:00:00, 4.5, 11.0, 0.0
11.2, 11.2, 0.0, 2010-12-13 00:00:00, 3.5, 8.0, 0.0
17.6, 17.6, 0.0, 2010-12-14 00:00:00, 1.0, 3.0, 0.0
0.2, 0.2, 0.0, 2010-12-15 00:00:00, 0.5, 4.5, 0.0
0.0, 0.0, 0.0, 2010-12-16 00:00:00, 0.5, 4.5, 0.0
0.0, 0.0, 0.0, 2010-12-17 00:00:00, 0.0, 4.0, 0.0
2.8, 2.8, 0.0, 2010-12-18 00:00:00, 0.0, 4.0, 0.0
1.8, 1.8, 0.0, 2010-12-19 00:00:00, 1.5, 4.0, 0.0
0.2, 0.2, 0.0, 2010-12-20 00:00:00, 0.0, 5.0, 0.0
0.0, 0.0, 0.0, 2010-12-21 00:00:00, 2.0, 7.0, 0.0
3.2, 3.2, 0.0, 2010-12-22 00:00:00, 2.0, 8.0, 0.0
5.2, 5.2, 0.0, 2010-12-23 00:00:00, 1.5, 7.0, 0.0
9.0, 9.0, 0.0, 2010-12-24 00:00:00, 1.5, 7.5, 0.0
1.0, 1.0, 0.0, 2010-12-25 00:00:00, 6.0, 7.5, 0.0
11.8, 11.8, 0.0, 2010-12-26 00:00:00, 3.5, 6.0, 0.0
5.0, 5.0, 0.0, 2010-12-27 00:00:00, 1.5, 4.5, 0.0
None, None, None, 2010-12-28 00:00:00, 1.0, None, 0.0
0.0, 0.0, 0.0, 2010-12-30 00:00:00, -1.5, 0.0, 0.0
0.0, 0.0, 0.0, 2010-12-31 00:00:00, -6.0, -0.5, 0.0
0.0, 0.0, 0.0, 2011-01-01 00:00:00, -5.5, 0.5, 0.0
0.0, 0.0, 0.0, 2011-01-02 00:00:00, -5.0, 1.0, 0.0
0.0, 0.0, 0.0, 2011-01-03 00:00:00, -4.5, 1.0, 0.0
12.2, 12.2, 0.0, 2011-01-04 00:00:00, -4.0, 0.5, 0.0
37.6, 37.6, 0.0, 2011-01-05 00:00:00, -1.0, 4.0, 0.0
21.4, 21.4, 0.0, 2011-01-06 00:00:00, 1.0, 6.5, 0.0
0.0, 0.0, 0.0, 2011-01-07 00:00:00, 3.0, 7.0, 0.0
0.0, 0.0, 0.0, 2011-01-08 00:00:00, -3.0, 1.0, 0.0
0.0, 0.0, 0.0, 2011-01-09 00:00:00, -1.0, 0.5, 0.0
None, None, None, 2011-01-10 00:00:00, -1.5, None, 0.0
44.6, 44.6, 0.0, 2011-01-12 00:00:00, -3.0, 6.5, 25.0
17.2, 17.2, 0.0, 2011-01-13 00:00:00, 0.0, 8.5, 14.0
5.2, 5.2, 0.0, 2011-01-14 00:00:00, 1.0, 10.5, 6.0
19.8, 19.8, 0.0, 2011-01-15 00:00:00, 4.0, 10.5, 0.0
8.8, 8.8, 0.0, 2011-01-16 00:00:00, 5.0, 10.5, 0.0
0.2, 0.2, 0.0, 2011-01-17 00:00:00, 6.5, 8.0, 0.0
0.4, 0.4, 0.0, 2011-01-18 00:00:00, 2.0, 5.5, 0.0
0.4, 0.4, 0.0, 2011-01-19 00:00:00, -2.0, 2.0, 0.0
14.0, 14.0, 0.0, 2011-01-20 00:00:00, -3.0, 6.0, 0.0
1.6, 1.6, 0.0, 2011-01-21 00:00:00, 2.0, 8.5, 0.0
0.8, 0.8, 0.0, 2011-01-22 00:00:00, 0.0, 5.5, 0.0
5.0, 5.0, 0.0, 2011-01-23 00:00:00, 0.0, 8.0, 0.0
8.5, 8.5, 0.0, 2011-01-24 00:00:00, 4.0, 8.0, 0.0
0.0, 0.0, 0.0, 2011-01-25 00:00:00, 3.0, 7.5, 0.0
0.0, 0.0, 0.0, 2011-01-26 00:00:00, 3.5, 8.0, 0.0
None, None, None, 2011-01-27 00:00:00, 1.5, None, 0.0
6.0, 6.0, 0.0, 2011-01-28 00:00:00, None, 7.0, None
6.6, 6.6, 0.0, 2011-01-29 00:00:00, 4.0, 8.0, 0.0
None, None, None, 2011-01-30 00:00:00, -1.0, None, 0.0
0.0, 0.0, 0.0, 2011-01-31 00:00:00, None, 2.0, None
0.4, 0.4, 0.0, 2011-02-01 00:00:00, -2.0, 2.5, 0.0
0.4, 0.4, 0.0, 2011-02-02 00:00:00, -2.5, 5.0, 0.0
14.8, 14.8, 0.0, 2011-02-03 00:00:00, -1.0, 8.0, 0.0
0.4, 0.4, 0.0, 2011-02-04 00:00:00, 2.0, 10.5, 0.0
3.4, 3.4, 0.0, 2011-02-05 00:00:00, 3.0, 8.0, 0.0
6.4, 6.4, 0.0, 2011-02-06 00:00:00, 3.0, 8.5, 0.0
1.2, 1.2, 0.0, 2011-02-07 00:00:00, 4.5, 7.5, 0.0
0.2, 0.2, 0.0, 2011-02-08 00:00:00, -0.5, 4.5, 0.0
0.0, 0.0, 0.0, 2011-02-09 00:00:00, -2.0, 3.5, 0.0
0.0, 0.0, 0.0, 2011-02-10 00:00:00, -2.5, 4.5, 0.0
1.6, 1.6, 0.0, 2011-02-11 00:00:00, -1.0, 5.0, 0.0
26.4, 26.4, 0.0, 2011-02-12 00:00:00, 1.0, 6.5, 0.0
3.2, 3.2, 0.0, 2011-02-13 00:00:00, 2.0, 6.5, 0.0
9.0, 9.0, 0.0, 2011-02-14 00:00:00, 2.0, 7.5, 0.0
4.0, 2.0, 2.0, 2011-02-15 00:00:00, -0.5, 4.5, 0.0
2.0, 2.0, 0.0, 2011-02-16 00:00:00, -0.5, 4.5, 2.0
0.0, 0.0, 0.0, 2011-02-17 00:00:00, -1.0, 3.0, 0.0
0.0, 0.0, 0.0, 2011-02-18 00:00:00, -1.0, 5.0, 0.0
0.0, 0.0, 0.0, 2011-02-19 00:00:00, -1.0, 4.5, 0.0
0.0, 0.0, 0.0, 2011-02-20 00:00:00, -1.5, 4.5, 0.0
0.0, 0.0, 0.0, 2011-02-21 00:00:00, -3.0, 4.0, 0.0
9.0, 1.0, 8.0, 2011-02-22 00:00:00, -2.0, 3.5, 0.0
13.0, 0.0, 13.0, 2011-02-23 00:00:00, -3.0, -0.5, 8.0
0.0, 0.0, 0.0, 2011-02-24 00:00:00, -6.0, -3.0, 19.0
0.0, 0.0, 0.0, 2011-02-25 00:00:00, -10.0, -2.5, 17.0
3.0, 1.0, 2.0, 2011-02-26 00:00:00, -4.5, 1.0, 16.0
15.0, 14.0, 1.0, 2011-02-27 00:00:00, -3.5, 3.0, 11.0
1.6, 0.6, 1.0, 2011-02-28 00:00:00, 0.0, 4.0, 9.0
8.0, 8.0, 0.0, 2011-03-01 00:00:00, -1.0, 5.0, 7.0
4.4, 3.4, 1.0, 2011-03-02 00:00:00, 0.0, 6.5, 5.0
2.6, 2.6, 0.0, 2011-03-03 00:00:00, 0.0, 5.5, 1.0
6.8, 6.8, 0.0, 2011-03-04 00:00:00, -0.5, 4.0, 0.0
0.0, 0.0, 0.0, 2011-03-05 00:00:00, -0.5, 6.5, 0.0
0.2, 0.2, 0.0, 2011-03-06 00:00:00, -0.5, 5.5, 0.0
8.4, 8.4, 0.0, 2011-03-07 00:00:00, -2.0, 5.5, 0.0
6.8, 6.8, 0.0, 2011-03-08 00:00:00, 0.5, 6.0, 0.0
15.0, 15.0, 0.0, 2011-03-09 00:00:00, 3.0, 11.0, 0.0
3.8, 3.8, 0.0, 2011-03-10 00:00:00, 3.0, 8.0, 0.0
0.2, 0.2, 0.0, 2011-03-11 00:00:00, 2.5, 7.0, 0.0
2.4, 2.4, 0.0, 2011-03-12 00:00:00, 3.5, 8.5, 0.0
18.6, 18.6, 0.0, 2011-03-13 00:00:00, 2.5, 8.5, 0.0
7.0, 7.0, 0.0, 2011-03-14 00:00:00, 4.0, 8.5, 0.0
12.0, 12.0, 0.0, 2011-03-15 00:00:00, 4.0, 9.5, 0.0
0.8, 0.8, 0.0, 2011-03-16 00:00:00, 3.0, 6.5, 0.0
0.0, 0.0, 0.0, 2011-03-17 00:00:00, 0.0, 7.5, 0.0
0.8, 0.8, 0.0, 2011-03-18 00:00:00, 0.0, 7.5, 0.0
0.0, 0.0, 0.0, 2011-03-19 00:00:00, 3.5, 8.0, 0.0
4.8, 4.8, 0.0, 2011-03-20 00:00:00, 1.5, 8.5, 0.0
1.2, 1.2, 0.0, 2011-03-21 00:00:00, 2.5, 8.0, 0.0
1.0, 1.0, 0.0, 2011-03-22 00:00:00, 1.0, 8.0, 0.0
0.4, 0.4, 0.0, 2011-03-23 00:00:00, 1.5, 10.0, 0.0
1.4, 1.4, 0.0, 2011-03-24 00:00:00, 2.5, 11.5, 0.0
1.0, 1.0, 0.0, 2011-03-25 00:00:00, 5.5, 9.0, 0.0
0.0, 0.0, 0.0, 2011-03-26 00:00:00, 3.0, 10.0, 0.0
0.0, 0.0, 0.0, 2011-03-27 00:00:00, 4.0, 8.0, 0.0
1.8, 1.8, 0.0, 2011-03-28 00:00:00, 0.5, 9.5, 0.0
4.2, 4.2, 0.0, 2011-03-29 00:00:00, 1.5, 9.5, 0.0
18.4, 18.4, 0.0, 2011-03-30 00:00:00, 6.0, 9.5, 0.0
3.2, 3.2, 0.0, 2011-03-31 00:00:00, 8.0, 11.5, 0.0
13.6, 13.6, 0.0, 2011-04-01 00:00:00, 5.0, 6.0, 0.0
8.8, 8.8, 0.0, 2011-04-02 00:00:00, 2.5, 8.5, 0.0
6.2, 6.2, 0.0, 2011-04-03 00:00:00, 0.0, 7.0, 0.0
13.6, 13.6, 0.0, 2011-04-04 00:00:00, 0.5, 6.0, 0.0
11.0, 11.0, 0.0, 2011-04-05 00:00:00, 2.0, 8.0, 0.0
0.0, 0.0, 0.0, 2011-04-06 00:00:00, 1.0, 8.0, 0.0
0.0, 0.0, 0.0, 2011-04-07 00:00:00, -1.5, 9.5, 0.0
0.0, 0.0, 0.0, 2011-04-08 00:00:00, -1.0, 11.0, 0.0
2.0, 2.0, 0.0, 2011-04-09 00:00:00, -0.5, 10.5, 0.0
5.0, 5.0, 0.0, 2011-04-10 00:00:00, 4.5, 10.0, 0.0
1.6, 1.6, 0.0, 2011-04-11 00:00:00, 2.5, 8.5, 0.0
0.0, 0.0, 0.0, 2011-04-12 00:00:00, 1.0, 8.0, 0.0
6.2, 6.2, 0.0, 2011-04-13 00:00:00, 2.5, 8.5, 0.0
2.8, 2.8, 0.0, 2011-04-14 00:00:00, 0.5, 6.0, 0.0
2.2, 2.2, 0.0, 2011-04-15 00:00:00, -0.5, 6.0, 0.0
0.0, 0.0, 0.0, 2011-04-16 00:00:00, 1.5, 9.5, 0.0
0.8, 0.8, 0.0, 2011-04-17 00:00:00, -0.5, 7.0, 0.0
1.6, 1.6, 0.0, 2011-04-18 00:00:00, -1.0, 9.5, 0.0
0.0, 0.0, 0.0, 2011-04-19 00:00:00, -0.5, 10.0, 0.0
0.4, 0.4, 0.0, 2011-04-20 00:00:00, -1.5, 9.0, 0.0
0.0, 0.0, 0.0, 2011-04-21 00:00:00, -1.5, 11.5, 0.0
0.0, 0.0, 0.0, 2011-04-22 00:00:00, 0.5, 11.5, 0.0
0.0, 0.0, 0.0, 2011-04-23 00:00:00, 0.5, 15.0, 0.0
2.2, 2.2, 0.0, 2011-04-24 00:00:00, 3.0, 10.0, 0.0
5.8, 5.8, 0.0, 2011-04-25 00:00:00, 4.0, 9.5, 0.0
0.0, 0.0, 0.0, 2011-04-26 00:00:00, 2.5, 13.0, 0.0
12.2, 12.2, 0.0, 2011-04-27 00:00:00, 5.0, 9.0, 0.0
0.2, 0.2, 0.0, 2011-04-28 00:00:00, 1.0, 9.5, 0.0
0.0, 0.0, 0.0, 2011-04-29 00:00:00, 0.0, 11.0, 0.0
0.0, 0.0, 0.0, 2011-04-30 00:00:00, 2.0, 12.5, 0.0
4.0, 4.0, 0.0, 2011-05-01 00:00:00, 0.5, 13.5, 0.0
3.6, 3.6, 0.0, 2011-05-02 00:00:00, 0.5, 11.0, 0.0
0.4, 0.4, 0.0, 2011-05-03 00:00:00, 0.5, 11.5, 0.0
1.6, 1.6, 0.0, 2011-05-04 00:00:00, 1.0, 13.5, 0.0
1.4, 1.4, 0.0, 2011-05-05 00:00:00, 5.0, 13.5, 0.0
5.4, 5.4, 0.0, 2011-05-06 00:00:00, 6.0, 9.0, 0.0
0.0, 0.0, 0.0, 2011-05-07 00:00:00, 6.5, 9.5, 0.0
0.0, 0.0, 0.0, 2011-05-08 00:00:00, 1.5, 12.0, 0.0
0.0, 0.0, 0.0, 2011-05-09 00:00:00, 7.5, 15.0, 0.0
1.8, 1.8, 0.0, 2011-05-10 00:00:00, 4.5, 13.0, 0.0
2.6, 2.6, 0.0, 2011-05-11 00:00:00, 7.0, 10.0, 0.0
0.0, 0.0, 0.0, 2011-05-12 00:00:00, 2.0, 12.5, 0.0
0.2, 0.2, 0.0, 2011-05-13 00:00:00, 1.5, 16.5, 0.0
15.8, 15.8, 0.0, 2011-05-14 00:00:00, 8.0, 15.5, 0.0
14.6, 14.6, 0.0, 2011-05-15 00:00:00, 10.0, 13.0, 0.0
0.2, 0.2, 0.0, 2011-05-16 00:00:00, 7.5, 13.0, 0.0
0.0, 0.0, 0.0, 2011-05-17 00:00:00, 1.5, 14.5, 0.0
0.0, 0.0, 0.0, 2011-05-18 00:00:00, 2.5, 17.5, 0.0
0.0, 0.0, 0.0, 2011-05-19 00:00:00, 3.0, 18.0, 0.0
1.2, 1.2, 0.0, 2011-05-20 00:00:00, 5.0, 21.0, 0.0
1.2, 1.2, 0.0, 2011-05-21 00:00:00, 8.0, 12.5, 0.0
0.0, 0.0, 0.0, 2011-05-22 00:00:00, 7.0, 14.5, 0.0
0.0, 0.0, 0.0, 2011-05-23 00:00:00, 4.5, 14.0, 0.0
0.0, 0.0, 0.0, 2011-05-24 00:00:00, 4.0, 15.5, 0.0
2.6, 2.6, 0.0, 2011-05-25 00:00:00, 7.0, 12.5, 0.0
2.2, 2.2, 0.0, 2011-05-26 00:00:00, 6.5, 13.5, 0.0
0.0, 0.0, 0.0, 2011-05-27 00:00:00, 7.0, 14.5, 0.0
0.0, 0.0, 0.0, 2011-05-28 00:00:00, 3.5, 14.0, 0.0
0.0, 0.0, 0.0, 2011-05-29 00:00:00, 3.5, 18.5, 0.0
0.0, 0.0, 0.0, 2011-05-30 00:00:00, 9.0, 15.0, 0.0
0.0, 0.0, 0.0, 2011-05-31 00:00:00, 6.0, 16.5, 0.0
0.4, 0.4, 0.0, 2011-06-01 00:00:00, 9.0, 17.5, 0.0
0.0, 0.0, 0.0, 2011-06-02 00:00:00, 9.0, 13.5, 0.0
0.0, 0.0, 0.0, 2011-06-03 00:00:00, 7.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-06-04 00:00:00, 7.0, 22.5, 0.0
0.0, 0.0, 0.0, 2011-06-05 00:00:00, 8.0, 22.0, 0.0
0.0, 0.0, 0.0, 2011-06-06 00:00:00, 10.5, 24.5, 0.0
0.2, 0.2, 0.0, 2011-06-07 00:00:00, 9.5, 17.5, 0.0
0.0, 0.0, 0.0, 2011-06-08 00:00:00, 8.5, 18.0, 0.0
0.0, 0.0, 0.0, 2011-06-09 00:00:00, 7.5, 17.5, 0.0
0.0, 0.0, 0.0, 2011-06-10 00:00:00, 8.0, 18.0, 0.0
0.4, 0.4, 0.0, 2011-06-11 00:00:00, 9.5, 17.5, 0.0
0.4, 0.4, 0.0, 2011-06-12 00:00:00, 7.0, 17.0, 0.0
0.0, 0.0, 0.0, 2011-06-13 00:00:00, 7.0, 16.5, 0.0
0.0, 0.0, 0.0, 2011-06-14 00:00:00, 6.5, 16.5, 0.0
1.6, 1.6, 0.0, 2011-06-15 00:00:00, 9.5, 16.5, 0.0
0.0, 0.0, 0.0, 2011-06-16 00:00:00, 6.0, 19.5, 0.0
2.8, 2.8, 0.0, 2011-06-17 00:00:00, 6.5, 19.5, 0.0
0.0, 0.0, 0.0, 2011-06-18 00:00:00, 11.0, 15.5, 0.0
0.0, 0.0, 0.0, 2011-06-19 00:00:00, 10.0, 18.0, 0.0
0.0, 0.0, 0.0, 2011-06-20 00:00:00, 10.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-06-21 00:00:00, 10.5, 21.5, 0.0
0.0, 0.0, 0.0, 2011-06-22 00:00:00, 10.0, 21.5, 0.0
0.0, 0.0, 0.0, 2011-06-23 00:00:00, 8.5, 18.0, 0.0
2.4, 2.4, 0.0, 2011-06-24 00:00:00, 9.5, 17.0, 0.0
0.2, 0.2, 0.0, 2011-06-25 00:00:00, 7.0, 15.5, 0.0
0.0, 0.0, 0.0, 2011-06-26 00:00:00, 7.0, 18.5, 0.0
1.6, 1.6, 0.0, 2011-06-27 00:00:00, 12.0, 18.0, 0.0
0.0, 0.0, 0.0, 2011-06-28 00:00:00, 12.0, 20.0, 0.0
0.0, 0.0, 0.0, 2011-06-29 00:00:00, 13.5, 17.0, 0.0
0.0, 0.0, 0.0, 2011-06-30 00:00:00, 9.0, 16.5, 0.0
0.0, 0.0, 0.0, 2011-07-01 00:00:00, 9.0, 17.5, 0.0
0.4, 0.4, 0.0, 2011-07-02 00:00:00, 7.5, 24.0, 0.0
0.0, 0.0, 0.0, 2011-07-03 00:00:00, 9.0, 21.0, 0.0
0.0, 0.0, 0.0, 2011-07-04 00:00:00, 7.5, 21.5, 0.0
0.0, 0.0, 0.0, 2011-07-05 00:00:00, 8.0, 25.0, 0.0
0.0, 0.0, 0.0, 2011-07-06 00:00:00, 12.0, 26.0, 0.0
0.0, 0.0, 0.0, 2011-07-07 00:00:00, 12.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-07-08 00:00:00, 11.0, 18.0, 0.0
0.0, 0.0, 0.0, 2011-07-09 00:00:00, 7.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-07-10 00:00:00, 10.0, 20.0, 0.0
0.0, 0.0, 0.0, 2011-07-11 00:00:00, 11.0, 21.0, 0.0
0.8, 0.8, 0.0, 2011-07-12 00:00:00, 13.5, 19.5, 0.0
8.0, 8.0, 0.0, 2011-07-13 00:00:00, 11.5, 18.0, 0.0
0.2, 0.2, 0.0, 2011-07-14 00:00:00, 12.5, 16.0, 0.0
12.2, 12.2, 0.0, 2011-07-15 00:00:00, 12.5, 17.0, 0.0
4.4, 4.4, 0.0, 2011-07-16 00:00:00, 13.5, 16.0, 0.0
0.4, 0.4, 0.0, 2011-07-17 00:00:00, 12.0, 17.5, 0.0
0.0, 0.0, 0.0, 2011-07-18 00:00:00, 13.0, 19.5, 0.0
0.0, 0.0, 0.0, 2011-07-19 00:00:00, 11.0, 18.0, 0.0
0.0, 0.0, 0.0, 2011-07-20 00:00:00, 13.0, 20.0, 0.0
0.0, 0.0, 0.0, 2011-07-21 00:00:00, 13.0, 18.0, 0.0
0.0, 0.0, 0.0, 2011-07-22 00:00:00, 7.5, 19.5, 0.0
0.0, 0.0, 0.0, 2011-07-23 00:00:00, 8.5, 22.0, 0.0
0.0, 0.0, 0.0, 2011-07-24 00:00:00, 10.0, 26.5, 0.0
0.0, 0.0, 0.0, 2011-07-25 00:00:00, 12.5, 20.5, 0.0
0.0, 0.0, 0.0, 2011-07-26 00:00:00, 9.5, 19.5, 0.0
0.0, 0.0, 0.0, 2011-07-27 00:00:00, 9.5, 21.5, 0.0
0.0, 0.0, 0.0, 2011-07-28 00:00:00, 10.5, 25.0, 0.0
0.0, 0.0, 0.0, 2011-07-29 00:00:00, 11.5, 22.0, 0.0
None, None, None, 2011-07-30 00:00:00, 11.0, None, 0.0
0.0, 0.0, 0.0, 2011-07-31 00:00:00, None, 22.0, None
0.0, 0.0, 0.0, 2011-08-01 00:00:00, 9.5, 24.0, 0.0
0.0, 0.0, 0.0, 2011-08-02 00:00:00, 12.5, 24.0, 0.0
0.0, 0.0, 0.0, 2011-08-03 00:00:00, 13.0, 24.0, 0.0
0.0, 0.0, 0.0, 2011-08-04 00:00:00, 12.5, 25.5, 0.0
0.0, 0.0, 0.0, 2011-08-05 00:00:00, 11.5, 23.5, 0.0
0.0, 0.0, 0.0, 2011-08-06 00:00:00, 13.5, 21.5, 0.0
0.0, 0.0, 0.0, 2011-08-07 00:00:00, 11.5, 23.0, 0.0
0.0, 0.0, 0.0, 2011-08-08 00:00:00, 11.0, 21.5, 0.0
0.0, 0.0, 0.0, 2011-08-09 00:00:00, 10.0, 20.5, 0.0
0.0, 0.0, 0.0, 2011-08-10 00:00:00, 9.0, 20.0, 0.0
0.0, 0.0, 0.0, 2011-08-11 00:00:00, 8.5, 21.0, 0.0
0.0, 0.0, 0.0, 2011-08-12 00:00:00, 10.0, 22.0, 0.0
0.0, 0.0, 0.0, 2011-08-13 00:00:00, 10.0, 21.0, 0.0
0.0, 0.0, 0.0, 2011-08-14 00:00:00, 12.5, 22.5, 0.0
0.0, 0.0, 0.0, 2011-08-15 00:00:00, 12.5, 22.0, 0.0
0.0, 0.0, 0.0, 2011-08-16 00:00:00, 8.0, 21.5, 0.0
0.0, 0.0, 0.0, 2011-08-17 00:00:00, 9.0, 23.5, 0.0
0.0, 0.0, 0.0, 2011-08-18 00:00:00, 10.0, 21.0, 0.0
0.0, 0.0, 0.0, 2011-08-19 00:00:00, 10.0, 23.0, 0.0
0.0, 0.0, 0.0, 2011-08-20 00:00:00, 10.5, 27.0, 0.0
3.0, 3.0, 0.0, 2011-08-21 00:00:00, 13.0, 27.5, 0.0
14.4, 14.4, 0.0, 2011-08-22 00:00:00, 13.0, 17.5, 0.0
0.0, 0.0, 0.0, 2011-08-23 00:00:00, 13.5, 20.0, 0.0
0.0, 0.0, 0.0, 2011-08-24 00:00:00, 11.5, 22.5, 0.0
0.0, 0.0, 0.0, 2011-08-25 00:00:00, 12.5, 23.5, 0.0
0.0, 0.0, 0.0, 2011-08-26 00:00:00, 13.5, 25.5, 0.0
0.0, 0.0, 0.0, 2011-08-27 00:00:00, 13.0, 24.5, 0.0
0.0, 0.0, 0.0, 2011-08-28 00:00:00, 12.0, 25.5, 0.0
0.0, 0.0, 0.0, 2011-08-29 00:00:00, 11.5, 23.0, 0.0
None, None, None, 2011-08-30 00:00:00, 12.5, None, 0.0
0.0, 0.0, 0.0, 2011-08-31 00:00:00, None, 19.0, None
0.0, 0.0, 0.0, 2011-09-01 00:00:00, 8.5, 20.0, 0.0
0.0, 0.0, 0.0, 2011-09-02 00:00:00, 8.5, 19.5, 0.0
0.0, 0.0, 0.0, 2011-09-03 00:00:00, 7.5, 23.0, 0.0
0.0, 0.0, 0.0, 2011-09-04 00:00:00, 9.0, 24.0, 0.0
0.0, 0.0, 0.0, 2011-09-05 00:00:00, 10.0, 26.0, 0.0
0.0, 0.0, 0.0, 2011-09-06 00:00:00, 10.0, 24.5, 0.0
0.0, 0.0, 0.0, 2011-09-07 00:00:00, 11.0, 26.5, 0.0
0.0, 0.0, 0.0, 2011-09-08 00:00:00, 11.5, 27.5, 0.0
0.0, 0.0, 0.0, 2011-09-09 00:00:00, 13.0, 27.0, 0.0
0.0, 0.0, 0.0, 2011-09-10 00:00:00, 12.5, 27.0, 0.0
0.0, 0.0, 0.0, 2011-09-11 00:00:00, 13.0, 29.0, 0.0
0.0, 0.0, 0.0, 2011-09-12 00:00:00, 12.0, 23.5, 0.0
0.0, 0.0, 0.0, 2011-09-13 00:00:00, 10.5, 17.5, 0.0
0.0, 0.0, 0.0, 2011-09-14 00:00:00, 11.5, 18.0, 0.0
0.2, 0.2, 0.0, 2011-09-15 00:00:00, 12.5, 18.0, 0.0
0.8, 0.8, 0.0, 2011-09-16 00:00:00, 5.5, 16.0, 0.0
1.6, 1.6, 0.0, 2011-09-17 00:00:00, 8.0, 16.0, 0.0
0.4, 0.4, 0.0, 2011-09-18 00:00:00, 11.0, 18.5, 0.0
0.0, 0.0, 0.0, 2011-09-19 00:00:00, 7.5, 17.5, 0.0
0.0, 0.0, 0.0, 2011-09-20 00:00:00, 7.0, 19.5, 0.0
None, None, None, 2011-09-21 00:00:00, 8.0, None, 0.0
1.2, 1.2, 0.0, 2011-09-27 00:00:00, None, 15.5, None
0.0, 0.0, 0.0, 2011-09-28 00:00:00, 5.5, 14.0, 0.0
0.0, 0.0, 0.0, 2011-09-29 00:00:00, 6.0, 17.0, 0.0
0.0, 0.0, 0.0, 2011-09-30 00:00:00, 8.0, 14.5, 0.0
0.0, 0.0, 0.0, 2011-10-01 00:00:00, 8.0, 13.0, 0.0
0.8, 0.8, 0.0, 2011-10-02 00:00:00, 6.0, 12.5, 0.0
0.4, 0.4, 0.0, 2011-10-03 00:00:00, 9.0, 15.0, 0.0
0.6, 0.6, 0.0, 2011-10-04 00:00:00, 6.0, 12.5, 0.0
1.0, 1.0, 0.0, 2011-10-05 00:00:00, 8.0, 12.0, 0.0
0.6, 0.6, 0.0, 2011-10-06 00:00:00, 6.5, 14.0, 0.0
0.0, 0.0, 0.0, 2011-10-07 00:00:00, 7.0, 13.5, 0.0
1.2, 1.2, 0.0, 2011-10-08 00:00:00, 5.5, 12.5, 0.0
1.8, 1.8, 0.0, 2011-10-09 00:00:00, 6.0, 12.5, 0.0
13.0, 13.0, 0.0, 2011-10-10 00:00:00, 6.0, 12.0, 0.0
16.2, 16.2, 0.0, 2011-10-11 00:00:00, 8.5, 12.0, 0.0
0.4, 0.4, 0.0, 2011-10-12 00:00:00, 7.5, 11.5, 0.0
0.2, 0.2, 0.0, 2011-10-13 00:00:00, 4.0, 10.5, 0.0
0.0, 0.0, 0.0, 2011-10-14 00:00:00, 4.5, 10.5, 0.0
0.0, 0.0, 0.0, 2011-10-15 00:00:00, 1.5, 9.0, 0.0
0.0, 0.0, 0.0, 2011-10-16 00:00:00, 0.5, 11.0, 0.0
0.0, 0.0, 0.0, 2011-10-17 00:00:00, 1.0, 11.5, 0.0
0.0, 0.0, 0.0, 2011-10-18 00:00:00, 5.0, 13.5, 0.0
0.0, 0.0, 0.0, 2011-10-19 00:00:00, 5.0, 15.5, 0.0
0.8, 0.8, 0.0, 2011-10-20 00:00:00, 5.5, 12.5, 0.0
20.4, 20.4, 0.0, 2011-10-21 00:00:00, 8.0, 12.0, 0.0
4.2, 4.2, 0.0, 2011-10-22 00:00:00, 8.0, 12.5, 0.0
0.4, 0.4, 0.0, 2011-10-23 00:00:00, 4.5, 10.5, 0.0
